'Elapsed time','ECG2'
'seconds','mV'
0.000,-0.160
0.008,-0.160
0.016,-0.190
0.023,-0.200
0.031,-0.190
0.039,-0.210
0.047,-0.220
0.055,-0.210
0.062,-0.190
0.070,-0.200
0.078,-0.200
0.086,-0.200
0.094,-0.200
0.102,-0.180
0.109,-0.110
0.117,-0.060
0.125,0.120
0.133,0.060
0.141,-1.010
0.148,-2.060
0.156,-1.890
0.164,-1.140
0.172,-0.390
0.180,-0.130
0.188,-0.020
0.195,0.030
0.203,0.050
0.211,0.070
0.219,0.080
0.227,0.100
0.234,0.120
0.242,0.150
0.250,0.170
0.258,0.190
0.266,0.200
0.273,0.250
0.281,0.300
0.289,0.340
0.297,0.380
0.305,0.430
0.312,0.490
0.320,0.540
0.328,0.570
0.336,0.580
0.344,0.560
0.352,0.530
0.359,0.490
0.367,0.410
0.375,0.270
0.383,0.150
0.391,0.050
0.398,-0.030
0.406,-0.100
0.414,-0.130
0.422,-0.150
0.430,-0.160
0.438,-0.190
0.445,-0.170
0.453,-0.170
0.461,-0.180
0.469,-0.170
0.477,-0.180
0.484,-0.160
0.492,-0.160
0.500,-0.170
0.508,-0.150
0.516,-0.150
0.523,-0.140
0.531,-0.160
0.539,-0.140
0.547,-0.140
0.555,-0.135
0.562,-0.105
0.570,-0.095
0.578,-0.105
0.586,-0.085
0.594,-0.085
0.602,-0.115
0.609,-0.165
0.617,-0.165
0.625,-0.145
0.633,-0.155
0.641,-0.185
0.648,-0.195
0.656,-0.215
0.664,-0.225
0.672,-0.205
0.680,-0.215
0.688,-0.215
0.695,-0.205
0.703,-0.185
0.711,-0.185
0.719,-0.185
0.727,-0.175
0.734,-0.135
0.742,-0.085
0.750,-0.015
0.758,0.185
0.766,-0.585
0.773,-1.765
0.781,-2.005
0.789,-1.505
0.797,-0.635
0.805,-0.175
0.812,-0.045
0.820,0.015
0.828,0.045
0.836,0.055
0.844,0.075
0.852,0.095
0.859,0.125
0.867,0.135
0.875,0.145
0.883,0.175
0.891,0.205
0.898,0.235
0.906,0.275
0.914,0.335
0.922,0.385
0.930,0.445
0.938,0.495
0.945,0.545
0.953,0.575
0.961,0.575
0.969,0.575
0.977,0.555
0.984,0.505
0.992,0.415
1.000,0.285
1.008,0.185
1.016,0.085
1.023,-0.025
1.031,-0.075
1.039,-0.105
1.047,-0.135
1.055,-0.155
1.062,-0.155
1.070,-0.155
1.078,-0.175
1.086,-0.175
1.094,-0.165
1.102,-0.155
1.109,-0.155
1.117,-0.135
1.125,-0.155
1.133,-0.135
1.141,-0.135
1.148,-0.115
1.156,-0.135
1.164,-0.145
1.172,-0.135
1.180,-0.135
1.188,-0.125
1.195,-0.105
1.203,-0.065
1.211,-0.085
1.219,-0.075
1.227,-0.075
1.234,-0.115
1.242,-0.165
1.250,-0.145
1.258,-0.135
1.266,-0.165
1.273,-0.205
1.281,-0.205
1.289,-0.215
1.297,-0.205
1.305,-0.195
1.312,-0.205
1.320,-0.195
1.328,-0.205
1.336,-0.175
1.344,-0.195
1.352,-0.155
1.359,-0.085
1.367,-0.035
1.375,0.085
1.383,0.135
1.391,-0.865
1.398,-1.935
1.406,-1.925
1.414,-1.345
1.422,-0.555
1.430,-0.195
1.438,-0.055
1.445,-0.005
1.453,0.025
1.461,0.025
1.469,0.045
1.477,0.085
1.484,0.105
1.492,0.125
1.500,0.125
1.508,0.155
