'Elapsed time','ECG1'
'seconds','mV'
0.000,-0.015
0.004,-0.045
0.008,-0.030
0.012,-0.025
0.016,-0.005
0.020,-0.045
0.024,-0.015
0.028,-0.025
0.032,-0.040
0.036,-0.045
0.040,-0.050
0.044,-0.040
0.048,-0.045
0.052,-0.035
0.056,-0.045
0.060,-0.050
0.064,-0.040
0.068,-0.045
0.072,-0.055
0.076,-0.050
0.080,-0.035
0.084,-0.040
0.088,-0.050
0.092,-0.060
0.096,-0.040
0.100,-0.010
0.104,0.000
0.108,0.035
0.112,0.035
0.116,0.060
0.120,0.070
0.124,0.075
0.128,0.050
0.132,0.040
0.136,0.000
0.140,-0.015
0.144,-0.015
0.148,-0.050
0.152,-0.090
0.156,-0.085
0.160,-0.100
0.164,-0.090
0.168,-0.125
0.172,-0.125
0.176,-0.125
0.180,-0.110
0.184,-0.090
0.188,-0.070
0.192,-0.050
0.196,-0.085
0.200,-0.070
0.204,-0.075
0.208,-0.055
0.212,-0.030
0.216,-0.010
0.220,-0.010
0.224,-0.020
0.228,-0.040
0.232,-0.005
0.236,-0.025
0.240,-0.035
0.244,-0.025
0.248,-0.025
0.252,-0.030
0.256,-0.015
0.260,-0.025
0.264,-0.030
0.268,-0.035
0.272,-0.050
0.276,-0.045
0.280,-0.060
0.284,-0.045
0.288,-0.045
0.292,-0.030
0.296,0.000
0.300,0.050
0.304,-0.005
0.308,-0.025
0.312,-0.070
0.316,-0.105
0.320,-0.185
0.324,-0.405
0.328,-0.690
0.332,-1.040
0.336,-1.310
0.340,-1.475
0.344,-1.545
0.348,-1.405
0.352,-1.055
0.356,-0.610
0.360,-0.255
0.364,-0.145
0.368,-0.125
0.372,-0.140
0.376,-0.165
0.380,-0.150
0.384,-0.100
0.388,-0.065
0.392,-0.005
0.396,0.030
0.400,0.085
0.404,0.060
0.408,0.075
0.412,0.055
0.416,0.060
0.420,0.070
0.424,0.075
0.428,0.105
0.432,0.095
0.436,0.110
0.440,0.095
0.444,0.115
0.448,0.110
0.452,0.100
0.456,0.100
0.460,0.100
0.464,0.115
0.468,0.115
0.472,0.110
0.476,0.120
0.480,0.105
0.484,0.115
0.488,0.115
0.492,0.120
0.496,0.110
0.500,0.100
0.504,0.110
0.508,0.100
0.512,0.080
0.516,0.080
0.520,0.100
0.524,0.080
0.528,0.095
0.532,0.110
0.536,0.095
0.540,0.085
0.544,0.090
0.548,0.095
0.552,0.105
0.556,0.100
0.560,0.115
0.564,0.090
0.568,0.080
0.572,0.085
0.576,0.070
0.580,0.065
0.584,0.090
0.588,0.090
0.592,0.060
0.596,0.045
0.600,0.055
0.604,0.050
0.608,0.015
0.612,0.025
0.616,0.020
0.620,0.020
0.624,0.010
0.628,0.030
0.632,0.015
0.636,0.005
0.640,0.005
0.644,0.005
0.648,0.015
0.652,0.005
0.656,0.010
0.660,0.015
0.664,0.010
0.668,0.030
0.672,0.030
0.676,0.020
0.680,0.005
0.684,0.025
0.688,0.015
0.692,0.035
0.696,0.035
0.700,0.040
0.704,0.020
0.708,0.030
0.712,0.035
0.716,0.050
0.720,0.065
0.724,0.055
0.728,0.045
0.732,0.070
0.736,0.065
0.740,0.050
0.744,0.060
0.748,0.055
0.752,0.050
0.756,0.050
0.760,0.050
0.764,0.050
0.768,0.060
0.772,0.050
0.776,0.055
0.780,0.040
0.784,0.065
0.788,0.050
0.792,0.045
0.796,0.045
0.800,0.035
0.804,0.050
0.808,0.045
0.812,0.035
0.816,0.040
0.820,0.035
0.824,0.035
0.828,0.035
0.832,0.025
0.836,0.040
0.840,0.035
0.844,0.060
0.848,0.025
0.852,0.040
0.856,0.045
0.860,0.025
0.864,0.025
0.868,0.040
0.872,0.030
0.876,0.020
0.880,0.020
0.884,0.015
0.888,0.020
0.892,0.020
0.896,0.005
0.900,0.015
0.904,0.010
0.908,0.040
0.912,0.010
0.916,0.015
0.920,0.025
0.924,0.015
0.928,0.010
0.932,0.020
0.936,-0.005
0.940,0.000
0.944,0.015
0.948,0.005
0.952,0.020
0.956,0.010
0.960,0.025
0.964,0.005
0.968,0.020
0.972,0.020
0.976,0.010
0.980,0.020
0.984,0.015
0.988,0.020
0.992,0.030
0.996,0.055
1.000,0.090
1.004,0.085
1.008,0.105
1.012,0.125
1.016,0.105
1.020,0.095
1.024,0.075
1.028,0.080
1.032,0.065
1.036,0.040
1.040,0.015
1.044,-0.020
1.048,-0.020
1.052,-0.035
1.056,-0.035
1.060,-0.075
1.064,-0.085
1.068,-0.080
1.072,-0.090
1.076,-0.060
1.080,-0.050
1.084,-0.035
1.088,-0.045
1.092,-0.040
1.096,-0.045
1.100,-0.030
1.104,-0.030
1.108,-0.010
1.112,0.005
1.116,0.025
1.120,-0.005
1.124,0.000
1.128,0.000
1.132,-0.015
1.136,0.000
1.140,-0.010
1.144,0.000
1.148,-0.030
1.152,-0.010
1.156,-0.030
1.160,-0.025
1.164,-0.010
1.168,-0.015
1.172,-0.035
1.176,-0.015
1.180,-0.025
1.184,-0.020
1.188,-0.010
1.192,0.045
1.196,0.040
1.200,-0.005
1.204,-0.045
1.208,-0.060
1.212,-0.130
1.216,-0.265
1.220,-0.525
1.224,-0.875
1.228,-1.210
1.232,-1.440
1.236,-1.515
1.240,-1.475
1.244,-1.200
1.248,-0.750
1.252,-0.335
1.256,-0.115
1.260,-0.080
1.264,-0.095
1.268,-0.125
1.272,-0.110
1.276,-0.095
1.280,-0.085
1.284,-0.025
1.288,0.070
1.292,0.095
1.296,0.090
1.300,0.065
1.304,0.090
1.308,0.105
1.312,0.115
1.316,0.130
1.320,0.115
1.324,0.110
1.328,0.155
1.332,0.125
1.336,0.130
1.340,0.115
1.344,0.110
1.348,0.120
1.352,0.120
1.356,0.125
1.360,0.110
1.364,0.105
1.368,0.125
1.372,0.140
1.376,0.140
1.380,0.140
1.384,0.120
1.388,0.125
1.392,0.125
1.396,0.140
1.400,0.110
1.404,0.120
1.408,0.130
1.412,0.120
1.416,0.100
1.420,0.110
1.424,0.100
1.428,0.110
1.432,0.090
1.436,0.120
1.440,0.085
1.444,0.085
1.448,0.105
1.452,0.090
1.456,0.100
1.460,0.090
1.464,0.080
1.468,0.075
1.472,0.065
1.476,0.075
1.480,0.075
1.484,0.045
1.488,0.055
1.492,0.035
1.496,0.055
1.500,0.045
1.504,0.035
1.508,0.050
1.512,0.035
1.516,0.020
1.520,0.005
1.524,0.025
1.528,0.025
1.532,0.010
1.536,0.015
1.540,0.000
1.544,0.020
1.548,0.020
1.552,0.010
1.556,0.005
1.560,0.005
1.564,0.045
1.568,0.015
1.572,0.035
1.576,0.030
1.580,0.035
1.584,0.045
1.588,0.035
1.592,0.035
1.596,0.025
1.600,0.065
1.604,0.045
1.608,0.055
1.612,0.055
1.616,0.070
1.620,0.050
1.624,0.055
1.628,0.050
1.632,0.050
1.636,0.040
1.640,0.050
1.644,0.070
1.648,0.070
1.652,0.045
1.656,0.080
1.660,0.080
1.664,0.080
1.668,0.070
1.672,0.060
1.676,0.065
1.680,0.075
1.684,0.060
1.688,0.070
1.692,0.045
1.696,0.070
1.700,0.055
1.704,0.035
1.708,0.055
1.712,0.055
1.716,0.050
1.720,0.060
1.724,0.060
1.728,0.025
1.732,0.050
1.736,0.015
1.740,0.035
1.744,0.030
1.748,0.020
1.752,0.030
1.756,0.030
1.760,0.015
1.764,0.010
1.768,0.030
1.772,0.020
1.776,0.030
1.780,0.020
1.784,0.015
1.788,0.025
1.792,0.025
1.796,0.015
1.800,0.035
1.804,0.025
1.808,0.035
1.812,0.025
1.816,0.000
1.820,0.030
1.824,0.025
1.828,0.030
1.832,0.015
1.836,0.010
1.840,0.010
1.844,0.005
1.848,0.020
1.852,0.005
1.856,-0.005
1.860,0.025
1.864,0.045
1.868,0.020
1.872,0.015
1.876,0.020
1.880,0.060
1.884,0.080
1.888,0.120
1.892,0.115
1.896,0.105
1.900,0.130
1.904,0.105
1.908,0.095
1.912,0.075
1.916,0.070
1.920,0.045
1.924,0.030
1.928,0.025
1.932,0.005
1.936,-0.015
1.940,-0.030
1.944,-0.040
1.948,-0.050
1.952,-0.065
1.956,-0.055
1.960,-0.040
1.964,-0.015
1.968,-0.010
